Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.493,368.45,8.14E+03
6.512,368.35,8.15E+03
11.516,368.25,8.16E+03
16.523,368.05,8.16E+03
21.546,368.05,8.17E+03
26.552,367.95,8.17E+03
31.604,367.85,8.18E+03
36.611,367.75,8.19E+03
41.644,367.55,8.19E+03
46.67,367.45,8.20E+03
51.68,367.35,8.21E+03
56.716,367.25,8.21E+03
61.717,367.15,8.22E+03
66.723,367.05,8.22E+03
71.747,366.95,8.23E+03
76.786,366.85,8.23E+03
81.806,366.75,8.24E+03
86.807,366.55,8.25E+03
91.811,366.45,8.25E+03
96.835,366.35,8.25E+03
101.838,366.35,8.26E+03
106.847,366.25,8.27E+03
111.852,366.05,8.27E+03
116.869,366.05,8.28E+03
121.878,365.85,8.28E+03
126.881,365.75,8.29E+03
131.905,365.75,8.29E+03
136.916,365.55,8.30E+03
141.923,365.45,8.30E+03
146.925,365.35,8.31E+03
151.953,365.15,8.31E+03
156.985,365.05,8.32E+03
161.99,365.05,8.32E+03
166.999,364.85,8.33E+03
172.004,364.85,8.33E+03
177.005,364.75,8.34E+03
182.009,364.65,8.34E+03
187.016,364.55,8.35E+03
192.038,364.45,8.35E+03
197.076,364.35,8.36E+03
202.083,364.15,8.36E+03
207.091,364.05,8.37E+03
212.101,363.95,8.37E+03
217.105,363.95,8.37E+03
222.11,363.85,8.38E+03
227.122,363.75,8.38E+03
232.17,363.55,8.39E+03
237.172,363.45,8.40E+03
242.179,363.45,8.40E+03
