Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.674,519.95,+1.84065810E+03
6.687,519.05,+1.85054340E+03
11.712,518.45,+1.86990330E+03
16.715,517.75,+1.89006350E+03
21.735,516.8499999999999,+1.91046560E+03
26.782,516.15,+1.93121520E+03
31.795,515.45,+1.95199630E+03
36.813,514.65,+1.97318800E+03
41.815,513.95,+1.99465370E+03
46.859,513.25,+2.01602430E+03
51.881,512.3499999999999,+2.03773180E+03
56.883,511.84999999999997,+2.05947100E+03
61.887,510.04999999999995,+2.10951850E+03
73.360,509.45,+2.13147870E+03
78.386,508.75,+2.15344940E+03
83.395,507.84999999999997,+2.17534640E+03
88.397,507.15,+2.19865410E+03
93.399,506.65,+2.21918300E+03
98.421,505.95,+2.24104840E+03
103.448,505.34999999999997,+2.26298750E+03
108.457,504.65,+2.28497930E+03
113.457,503.95,+2.30636050E+03
118.481,503.34999999999997,+2.32806820E+03
123.490,502.54999999999995,+2.34955470E+03
128.495,501.95,+2.37107270E+03
133.498,501.34999999999997,+2.39242230E+03
138.515,500.04999999999995,+2.43410050E+03
148.393,499.45,+2.45520800E+03
153.431,498.84999999999997,+2.47571540E+03
158.446,498.04999999999995,+2.49651760E+03
163.460,497.75,+2.51738320E+03
168.499,497.04999999999995,+2.53755370E+03
173.513,496.54999999999995,+2.55772420E+03
178.515,495.84999999999997,+2.57768420E+03
183.530,495.34999999999997,+2.59822320E+03
188.553,494.75,+2.61723570E+03
193.582,494.25,+2.63661690E+03
198.602,493.84999999999997,+2.65600840E+03
203.648,493.25,+2.67522090E+03
208.653,492.75,+2.69399130E+03
213.666,492.04999999999995,+2.71277220E+03
218.682,491.54999999999995,+2.73134300E+03
223.684,491.15,+2.74971330E+03
228.692,490.04999999999995,+2.79119130E+03
240.232,489.54999999999995,+2.80909850E+03
245.232,489.04999999999995,+2.82647920E+03
250.248,488.54999999999995,+2.84389180E+03
255.292,488.04999999999995,+2.86093560E+03
260.304,487.75,+2.87814800E+03
265.315,487.25,+2.89481290E+03
270.322,486.75,+2.91173040E+03
275.335,486.34999999999997,+2.92825850E+03
280.349,485.95,+2.94478690E+03
285.351,485.45,+2.96100960E+03
290.358,484.95,+2.97791670E+03
295.684,484.54999999999995,+2.99405520E+03
300.712,484.15,+3.00970950E+03
305.713,483.75,+3.02526900E+03
310.715,483.34999999999997,+3.04148150E+03
315.728,482.84999999999997,+3.05615670E+03
320.745,482.54999999999995,+3.07109510E+03
325.754,482.15,+3.08643360E+03
330.782,481.75,+3.10130880E+03
335.801,481.34999999999997,+3.11598400E+03
340.815,480.04999999999995,+3.16327340E+03
357.302,479.84999999999997,+3.17719060E+03
362.317,479.45,+3.19124470E+03
367.330,479.04999999999995,+3.20491980E+03
372.333,478.75,+3.21839490E+03
377.346,478.34999999999997,+3.23192260E+03
382.350,477.95,+3.24517660E+03
387.352,477.65,+3.25835740E+03
392.363,477.34999999999997,+3.27120080E+03
397.363,477.04999999999995,+3.28419160E+03
402.379,476.75,+3.29677190E+03
407.401,476.34999999999997,+3.30277250E+03
412.422,476.04999999999995,+3.31970060E+03
417.424,475.75,+3.32816460E+03
422.450,475.45,+3.34653500E+03
427.483,475.15,+3.35588360E+03
432.491,474.84999999999997,+3.37025350E+03
437.528,474.54999999999995,+3.38242320E+03
442.531,474.25,+3.39395080E+03
447.546,473.84999999999997,+3.40567830E+03
452.560,473.54999999999995,+3.41714270E+03
457.583,473.34999999999997,+3.42827010E+03
462.591,473.04999999999995,+3.43953450E+03
467.601,472.84999999999997,+3.45061980E+03
472.620,472.54999999999995,+3.46151590E+03
477.634,472.34999999999997,+3.47047470E+03
482.650,471.95,+3.48290760E+03
487.652,471.75,+3.49349820E+03
492.654,471.54999999999995,+3.50387820E+03
497.659,471.25,+3.50972090E+03
502.670,470.04999999999995,+3.55893660E+03
525.411,469.84999999999997,+3.56887500E+03
530.451,469.65,+3.57844440E+03
535.457,469.45,+3.58804540E+03
540.462,469.15,+3.59628840E+03
545.484,468.95,+3.60592090E+03
550.486,468.75,+3.61493240E+03
555.495,468.54999999999995,+3.61877490E+03
560.516,468.34999999999997,+3.63280800E+03
565.524,467.45,+3.71496420E+03
585.929,466.25,+3.72051220E+03
616.462,466.04999999999995,+3.72418620E+03
621.484,465.75,+3.73313450E+03
626.484,465.54999999999995,+3.74093530E+03
631.492,465.45,+3.74928360E+03
636.500,465.25,+3.75670540E+03
641.520,465.04999999999995,+3.76345350E+03
646.532,464.95,+3.77059110E+03
651.549,464.75,+3.77886580E+03
656.557,464.54999999999995,+3.78603500E+03
661.571,464.34999999999997,+3.79315150E+03
666.584,464.25,+3.80004700E+03
671.585,464.04999999999995,+3.80694240E+03
676.609,463.84999999999997,+3.81368000E+03
