Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.496,330.04999999999995,+7.82915730E+03
6.501,330.04999999999995,+7.82624120E+03
11.510,329.95,+7.82327250E+03
16.516,329.84999999999997,+7.82040900E+03
21.518,329.84999999999997,+7.81745080E+03
26.554,329.84999999999997,+7.81450320E+03
31.577,329.75,+7.81158710E+03
36.581,329.75,+7.80862890E+03
41.582,329.65,+7.80571280E+03
46.583,329.54999999999995,+7.80284930E+03
51.587,329.45,+7.79977530E+03
56.597,329.45,+7.79691190E+03
61.600,329.34999999999997,+7.79397470E+03
66.609,329.34999999999997,+7.79101650E+03
71.627,329.34999999999997,+7.78825830E+03
76.640,329.25,+7.78534220E+03
81.642,329.25,+7.78242610E+03
86.652,329.15,+7.77963640E+03
91.665,329.04999999999995,+7.77673080E+03
96.683,328.95,+7.77390950E+03
101.696,328.95,+7.77107760E+03
106.709,328.95,+7.76811940E+03
111.717,328.84999999999997,+7.76542440E+03
116.725,328.84999999999997,+7.76246620E+03
121.732,328.75,+7.75968690E+03
126.742,328.75,+7.75698090E+03
131.746,328.65,+7.75420160E+03
136.747,328.55,+7.75125400E+03
141.766,328.54999999999995,+7.74849580E+03
146.777,328.45,+7.74561130E+03
151.781,328.45,+7.74284260E+03
156.782,328.34999999999997,+7.74002120E+03
161.785,328.34999999999997,+7.73721040E+03
166.791,328.25,+7.73449430E+03
171.808,328.25,+7.73166240E+03
