Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.537,276.54999999999995,5000.25224
8.392,277.95,4978.750999999999
13.861,279.25,4951.522919999999
19.345,280.34999999999997,4925.58296
24.846,281.34999999999997,4899.69606
30.369,282.34999999999997,4874.86186
35.845,283.34999999999997,4850.861500000001
41.325,284.15,4827.67378
46.828,285.25,4805.40174
52.298,285.95,4783.46046
57.759,286.84999999999997,4762.736199999999
63.211,287.84999999999997,4742.32984
68.716,288.54999999999995,4722.34882
74.191,289.34999999999997,4702.67692
