Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.520,341.54999999999995,+8.37121630E+03
6.531,341.45,+8.36836340E+03
11.547,341.34999999999997,+8.36505780E+03
16.549,341.34999999999997,+8.36179430E+03
21.551,341.25,+8.35834130E+03
26.587,341.04999999999995,+8.35477250E+03
31.929,340.95,+8.34936140E+03
40.354,340.95,+8.34539250E+03
45.767,340.75,+8.34124470E+03
51.782,340.65,+8.33757070E+03
57.142,340.54999999999995,+8.33429660E+03
62.845,340.45,+8.33030680E+03
67.881,340.45,+8.32715910E+03
73.246,340.34999999999997,+8.32347450E+03
78.248,340.15,+8.31912660E+03
84.988,340.04999999999995,+8.31566310E+03
90.019,340.04999999999995,+8.31219960E+03
95.049,339.95,+8.30880980E+03
100.060,339.84999999999997,+8.30539890E+03
105.064,339.84999999999997,+8.30224070E+03
110.083,339.75,+8.29878770E+03
115.091,339.54999999999995,+8.29528200E+03
120.123,339.45,+8.29188170E+03
125.133,339.45,+8.28858660E+03
130.149,339.34999999999997,+8.28520730E+03
135.196,339.25,+8.28183810E+03
140.215,339.25,+8.27829040E+03
145.216,339.04999999999995,+8.27514270E+03
150.260,339.04999999999995,+8.27161600E+03
155.283,338.95,+8.26816300E+03
160.327,338.95,+8.26472060E+03
165.346,338.84999999999997,+8.26137280E+03
170.352,338.75,+8.25796200E+03
175.353,338.75,+8.25447740E+03
180.398,338.54999999999995,+8.25102440E+03
185.411,338.45,+8.24772930E+03
190.414,338.45,+8.24442370E+03
195.415,338.34999999999997,+8.24093910E+03
200.417,338.34999999999997,+8.23760190E+03
205.462,338.25,+8.23398050E+03
210.482,338.04999999999995,+8.23095910E+03
215.516,338.04999999999995,+8.22733770E+03
220.517,337.95,+8.22393740E+03
225.521,337.84999999999997,+8.22017910E+03
230.565,337.75,+8.21733670E+03
235.579,337.75,+8.21407320E+03
240.584,337.75,+8.21073600E+03
245.588,337.54999999999995,+8.20697770E+03
250.632,337.45,+8.20397740E+03
255.647,337.45,+8.20025070E+03
260.648,337.34999999999997,+8.19696610E+03
265.654,337.34999999999997,+8.19372370E+03
270.661,337.25,+8.19048120E+03
275.662,337.04999999999995,+8.18675450E+03
280.669,337.04999999999995,+8.18345950E+03
285.684,336.95,+8.18024860E+03
290.689,336.84999999999997,+8.17656340E+03
295.692,336.84999999999997,+8.17363680E+03
300.716,336.75,+8.17038380E+03
305.728,336.75,+8.16696240E+03
310.769,336.65,+8.16343570E+03
315.780,336.54999999999995,+8.16009850E+03
320.782,336.45,+8.15688770E+03
325.788,336.34999999999997,+8.15362420E+03
330.791,336.34999999999997,+8.15008690E+03
335.802,336.25,+8.14692870E+03
340.816,336.15,+8.14359150E+03
345.818,336.15,+8.14009640E+03
350.819,336.04999999999995,+8.13691720E+03
355.852,335.95,+8.13348520E+03
360.856,335.84999999999997,+8.13025330E+03
365.857,335.75,+8.12689510E+03
370.858,335.75,+8.12345260E+03
375.880,335.75,+8.12021010E+03
380.885,335.54999999999995,+8.11694660E+03
385.900,335.45,+8.11331470E+03
391.248,335.45,+8.10991430E+03
396.283,335.45,+8.10666140E+03
401.291,335.34999999999997,+8.10346100E+03
406.301,335.25,+8.09995540E+03
411.316,335.15,+8.09675510E+03
416.319,335.15,+8.09344950E+03
421.326,335.04999999999995,+8.09018600E+03
426.330,334.95,+8.08663820E+03
431.688,334.95,+8.08351160E+03
436.726,334.84999999999997,+8.08020600E+03
441.730,334.75,+8.07695300E+03
446.735,334.75,+8.07368910E+03
451.747,334.54999999999995,+8.07015190E+03
457.095,334.54999999999995,+8.06624620E+03
462.779,334.45,+8.06330910E+03
467.781,334.45,+8.05998240E+03
472.793,334.34999999999997,+8.05661360E+03
477.797,334.25,+8.05349750E+03
482.835,334.25,+8.05026560E+03
487.847,334.04999999999995,+8.04702320E+03
492.849,334.04999999999995,+8.04390700E+03
497.857,334.04999999999995,+8.04048560E+03
502.878,333.95,+8.03743270E+03
507.891,333.84999999999997,+8.03416920E+03
512.915,333.84999999999997,+8.03082150E+03
517.918,333.75,+8.02770540E+03
522.930,333.65,+8.02657890E+03
527.946,333.54999999999995,+8.02334700E+03
532.948,333.54999999999995,+8.02011510E+03
537.952,333.45,+8.01694630E+03
542.991,333.45,+8.01383020E+03
548.030,333.34999999999997,+8.01056670E+03
553.032,333.25,+8.00730320E+03
558.035,333.25,+8.00415550E+03
563.045,333.15,+8.00109210E+03
568.046,333.04999999999995,+7.99781800E+03
573.046,332.95,+7.99471240E+03
578.049,332.95,+7.99163840E+03
583.049,332.84999999999997,+7.98840650E+03
588.050,332.84999999999997,+7.98536410E+03
593.096,332.75,+7.98212170E+03
598.101,332.65,+7.97901610E+03
603.114,332.65,+7.97592100E+03
