,Resistencia [Ohm],Temperatura_OCR [C],Resistencia_TERMISTOR [Ohm]
144,5649.88672,14.7,
145,5651.558480000001,14.7,
146,5666.261480000001,14.7,
147,5747.200000000001,17.5,3738.7999999999997
439,5210.08144,0.2,6538.43166
440,5211.510120000001,0.2,6538.970659999999
441,5210.50962,0.22,6536.32408
442,5212.485140000001,0.3,6531.94678
443,5215.3742,0.36,6523.29326
444,5219.278539999999,0.4,6522.26784
445,5220.87038,0.4,6517.970579999999
446,5222.27148,0.4,6509.46022
447,5216.546339999999,0.4,6504.7334
448,5214.71712,0.5,6452.009619999999
449,5245.94802,0.4599999999999999,5902.64056
450,5296.62014,3.2,5785.611139999999
451,5321.875580000001,4.7,5742.43572
452,5332.85104,5.24,5716.28984
453,5335.795219999999,5.4,5701.86308
454,5334.52344,5.5,5692.504179999999
455,5333.48272,5.42,5681.57462
456,5331.86754,5.4,5674.186479999999
457,5331.144740000001,5.4,5667.600560000001
458,5332.187599999999,5.4,5661.75126
459,5330.97096,5.4,5660.5152
460,5331.05148,5.4,5663.05472
461,5329.57836,5.4,5666.432020000001
462,5330.352000000001,5.4,5668.90806
463,5331.195600000001,5.380000000000001,5669.79026
464,5329.14168,5.3,5657.24352
465,5340.50934,5.3,5431.48632
466,5368.98272,6.24,5303.3565
467,5391.4233,7.56,5246.43462
468,5404.6074,8.26,5214.96372
469,5408.92296,8.580000000000002,5197.09872
470,5411.46018,8.719999999999999,5186.49972
471,5413.65824,8.8,5179.63162
472,5412.6938,8.8,5175.30068
473,5412.82308,8.8,5172.65408
474,5413.15588,8.8,5171.670800000001
475,5413.69428,8.8,5170.38222
476,5416.98818,8.8,5035.37388
477,5446.826419999999,9.1,4842.433139999999
478,5476.18594,10.9,4758.39468
479,5497.3886,11.8,4711.56632
480,5510.0089,12.3,4681.31044
481,5516.1876600000005,12.625,4661.7442
482,5518.8817,12.8,4649.778759999999
483,5520.23616,12.88,4641.872659999999
484,5521.35954,12.9,4635.549859999999
485,5522.2307200000005,12.9,4629.667159999999
486,5522.28156,12.9,4624.24344
487,5522.22436,12.9,4620.29986
488,5521.558800000001,12.9,4618.20912
489,5521.70082,12.9,4617.74804
490,5522.25192,12.9,4617.722779999999
491,5522.45966,12.9,4615.25924
492,5523.50252,12.9,4578.01706
493,5540.26246,12.96,4378.01452
494,5571.75212,14.14,4266.35828
495,5595.02144,15.54,4208.66386
496,5609.47948,16.3,4173.632340000001
497,5617.582840000001,16.72,4151.09944
498,5623.04516,16.919999999999998,4135.65992
499,5627.322559999999,17.1,4123.789220000001
500,5630.63344,17.2,4112.385920000001
501,5632.15744,17.2,4102.51964
502,5633.29568,17.3,4095.125160000001
503,5633.2173,17.3,4084.9261
504,5642.348660000001,17.3,3924.203479999999
505,5674.23682,18.075000000000003,3783.14408
506,5703.58316,19.880000000000003,3710.0479
507,5725.924120000001,20.7,3665.83888
508,5740.666160000001,21.42,3637.38108
509,5750.83192,21.76,3618.13064
510,5753.839660000001,21.94,3604.50186
511,5754.98426,22.1,3594.86716
512,5754.651499999999,22.160000000000004,3587.96328
513,5757.2014,22.2,3582.17112
514,5759.683500000001,22.2,3577.84012
515,5759.41004,22.160000000000004,3574.07344
516,5767.31442,22.2,3577.5327000000007
517,5767.844219999999,22.22,3462.2106199999994
518,5800.51016,22.475,3276.93182
519,5840.340200000001,24.96,3185.023
520,5875.053720000001,26.4,3132.37732
521,5893.08566,27.23333333333333,3097.55262
522,5900.28396,27.72,3072.32894
523,5909.62304,28.04,3054.32914
524,5930.79606,28.24,3046.22304
525,5928.398759999999,28.42,3032.58976
526,5920.57098,28.6,3016.45332
527,5918.26054,28.5,3004.97
528,5924.08318,28.6,2998.1271800000004
529,5929.0219400000005,28.7,2989.62524
530,5935.777219999999,28.8,2913.62552
531,5969.25266,29.059999999999995,2763.16314
532,6009.621400000001,31.26,2684.41554
533,6042.4333400000005,32.9,2635.3051800000003
534,6060.893239999999,33.82,2603.329
535,6074.147279999999,34.36,2578.80436
536,6083.83654,34.720000000000006,2561.33306
537,6083.76874,35.06,2542.89744
538,6084.82854,35.3,2532.55528
539,6094.6912,35.480000000000004,2520.46564
540,6104.20624,35.660000000000004,2509.92316
541,6108.0470000000005,35.779999999999994,2497.7934800000003
542,6120.718180000001,35.94,2490.2011
543,6144.60218,36.1,2488.6599
544,6145.72984,36.260000000000005,2477.03972
545,6140.67028,36.36,2465.26168
546,6147.95124,36.42,2454.7447999999995
547,6162.03832,36.64,2442.92882
548,6165.4467,36.86,2431.20128
549,6170.974679999999,37.1,2420.9244
550,6179.29214,37.275,2410.54216
551,6194.55594,37.4,2403.52242
552,6200.847,37.66,2397.51336
553,6213.806420000001,37.7,2392.27702
554,6242.296420000001,37.8,2388.72504
555,6265.11642,37.81999999999999,2384.62358
556,6281.367660000001,37.86,2382.177
557,6293.621539999999,37.9,2379.9746800000003
558,6305.472599999999,37.94,2378.4545
559,6314.695140000001,38.08,2377.21226
560,6332.20756,38.1,2373.0160599999995
561,6353.39966,38.1,2369.94836
562,6363.04818,38.18000000000001,2366.4364400000004
563,6367.84282,38.28,2364.45936
564,6370.638640000001,38.3,2362.7076
565,6374.30346,38.3,2360.94322
566,6377.91956,38.3,2358.89876
