Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.485,327.95,+7.71671350E+03
6.504,327.84999999999997,+7.71397640E+03
11.508,327.84999999999997,+7.71128140E+03
16.518,327.75,+7.70847050E+03
21.530,327.75,+7.70568080E+03
26.544,327.65,+7.70281730E+03
31.546,327.65,+7.70016440E+03
36.552,327.54999999999995,+7.69742730E+03
41.561,327.45,+7.69471120E+03
46.568,327.45,+7.69202670E+03
51.583,327.34999999999997,+7.68936330E+03
56.595,327.34999999999997,+7.68669980E+03
61.604,327.25,+7.68391010E+03
66.618,327.25,+7.68133090E+03
71.619,327.25,+7.67859370E+03
76.634,327.15,+7.67577240E+03
81.654,327.04999999999995,+7.67317210E+03
86.663,327.04999999999995,+7.67047710E+03
91.669,326.95,+7.66781370E+03
96.673,326.95,+7.66512920E+03
101.684,326.84999999999997,+7.66251840E+03
106.700,326.84999999999997,+7.65981280E+03
111.710,326.84999999999997,+7.65717050E+03
116.714,326.75,+7.65451690E+03
121.730,326.75,+7.65192720E+03
126.736,326.65,+7.64924270E+03
131.740,326.54999999999995,+7.64658980E+03
136.751,326.45,+7.64400010E+03
141.766,326.45,+7.64136820E+03
146.773,326.45,+7.63873630E+03
151.777,326.34999999999997,+7.63610450E+03
156.786,326.34999999999997,+7.63355690E+03
161.798,326.34999999999997,+7.63094610E+03
166.802,326.25,+7.62838790E+03
171.808,326.25,+7.62578760E+03
176.817,326.04999999999995,+7.62328210E+03
181.863,326.04999999999995,+7.62063970E+03
186.866,326.04999999999995,+7.61805000E+03
191.872,326.04999999999995,+7.61547080E+03
196.882,325.95,+7.61291260E+03
201.884,325.84999999999997,+7.61040710E+03
206.899,325.84999999999997,+7.60768050E+03
212.235,325.75,+7.60517500E+03
217.259,325.75,+7.60258520E+03
222.298,325.75,+7.60007970E+03
227.318,325.75,+7.59732150E+03
