Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.499,363.15,+8.40603080E+03
6.517,363.04999999999995,+8.41018920E+03
11.521,362.95,+8.41620030E+03
16.535,362.84999999999997,+8.41984280E+03
21.544,362.75,+8.42371690E+03
26.567,362.65,+8.42833840E+03
31.593,362.45,+8.43313890E+03
36.644,362.34999999999997,+8.43938170E+03
41.652,362.25,+8.44402430E+03
46.657,362.15,+8.44862480E+03
51.666,361.95,+8.45158300E+03
56.677,361.84999999999997,+8.45828890E+03
61.700,361.75,+8.46154190E+03
66.715,361.54999999999995,+8.46773200E+03
71.733,361.45,+8.47255360E+03
76.746,361.34999999999997,+8.47591180E+03
81.747,361.15,+8.48453380E+03
86.751,361.04999999999995,+8.48753410E+03
92.112,360.84999999999997,+8.49293470E+03
97.457,360.65,+8.50123090E+03
106.088,360.34999999999997,+8.50793680E+03
113.554,360.04999999999995,+8.51496910E+03
123.750,359.95,+8.52083290E+03
128.751,359.84999999999997,+8.52382270E+03
133.756,359.65,+8.53169720E+03
138.781,359.45,+8.53496070E+03
143.792,359.34999999999997,+8.53679250E+03
148.813,359.25,+8.54314050E+03
153.823,359.04999999999995,+8.54571970E+03
158.844,358.95,+8.55004650E+03
163.854,358.75,+8.55363630E+03
168.868,358.54999999999995,+8.55738410E+03
174.223,358.45,+8.56222670E+03
179.245,358.25,+8.56535330E+03
184.253,358.15,+8.56810100E+03
189.266,357.95,+8.57013280E+03
194.276,357.84999999999997,+8.57264880E+03
199.279,357.75,+8.57824940E+03
204.300,357.54999999999995,+8.57861790E+03
209.313,357.45,+8.58306040E+03
214.318,357.34999999999997,+8.58592390E+03
219.322,357.15,+8.58776620E+03
224.332,356.95,+8.59073490E+03
229.346,356.84999999999997,+8.59213510E+03
234.353,356.75,+8.59566180E+03
239.359,356.54999999999995,+8.59804100E+03
244.378,356.45,+8.59798830E+03
249.383,356.25,+8.59967320E+03
254.395,356.04999999999995,+8.60310510E+03
259.410,355.95,+8.60527380E+03
264.419,355.84999999999997,+8.60676870E+03
269.433,355.65,+8.60899000E+03
274.453,355.45,+8.60966370E+03
279.460,355.34999999999997,+8.61235870E+03
284.511,355.25,+8.61268510E+03
289.513,355.04999999999995,+8.61392730E+03
294.532,354.95,+8.61612760E+03
299.579,354.84999999999997,+8.61666450E+03
304.582,354.75,+8.61701190E+03
309.612,354.54999999999995,+8.61810670E+03
314.651,354.34999999999997,+8.61989640E+03
319.656,354.25,+8.62027540E+03
324.667,354.04999999999995,+8.61984370E+03
329.682,354.04999999999995,+8.62022270E+03
334.684,353.84999999999997,+8.62145440E+03
339.690,353.75,+8.62154920E+03
344.715,353.54999999999995,+8.62086490E+03
349.722,353.45,+8.62150710E+03
354.746,353.34999999999997,+8.62226500E+03
359.749,353.25,+8.62187550E+03
364.750,353.04999999999995,+8.62077010E+03
369.752,352.95,+8.62254930E+03
374.754,352.75,+8.62164390E+03
379.762,352.54999999999995,+8.62109650E+03
384.765,352.45,+8.62049640E+03
389.781,352.34999999999997,+8.62074910E+03
394.789,352.25,+8.61930680E+03
399.810,352.15,+8.62018060E+03
404.815,352.04999999999995,+8.61915950E+03
409.844,351.84999999999997,+8.61740140E+03
414.848,351.75,+8.61790670E+03
419.853,351.65,+8.61643290E+03
424.865,351.45,+8.61613810E+03
429.882,351.34999999999997,+8.61586440E+03
434.882,351.25,+8.61376940E+03
439.899,351.15,+8.61274830E+03
444.900,350.04999999999995,+8.60181030E+03
489.210,349.95,+8.60090490E+03
494.227,349.84999999999997,+8.59954690E+03
499.233,349.75,+8.59771460E+03
504.248,349.54999999999995,+8.59628290E+03
509.260,349.45,+8.59343000E+03
514.269,349.45,+8.59314570E+03
519.281,349.34999999999997,+8.59021910E+03
524.300,349.15,+8.58926110E+03
529.321,349.04999999999995,+8.58674500E+03
534.331,348.95,+8.58483960E+03
539.348,348.84999999999997,+8.58304990E+03
544.351,348.75,+8.58159710E+03
549.377,348.65,+8.57881790E+03
554.379,348.45,+8.57716510E+03
559.397,348.34999999999997,+8.57480700E+03
564.416,348.25,+8.57291200E+03
569.432,348.15,+8.57090130E+03
574.446,348.04999999999995,+8.56901690E+03
579.458,347.95,+8.56781680E+03
584.468,347.84999999999997,+8.56416370E+03
589.482,347.75,+8.56123710E+03
594.486,347.54999999999995,+8.55956330E+03
599.512,347.45,+8.55695250E+03
604.526,347.45,+8.55437320E+03
609.549,347.34999999999997,+8.55252040E+03
614.551,347.25,+8.54986750E+03
619.555,347.04999999999995,+8.54720410E+03
624.581,346.95,+8.54489860E+03
629.589,346.84999999999997,+8.54192980E+03
634.592,346.84999999999997,+8.54012970E+03
639.614,346.75,+8.53727670E+03
644.619,346.54999999999995,+8.53426590E+03
649.646,346.45,+8.53190770E+03
654.682,346.34999999999997,+8.52945490E+03
659.689,346.25,+8.52693880E+03
664.703,346.15,+8.52444380E+03
669.717,346.04999999999995,+8.52062240E+03
674.718,345.95,+8.51842210E+03
679.747,345.84999999999997,+8.51561130E+03
684.763,345.75,+8.51257940E+03
689.780,345.54999999999995,+8.51030550E+03
694.801,345.54999999999995,+8.50622090E+03
699.813,345.45,+8.50414700E+03
704.825,345.34999999999997,+8.50105190E+03
709.847,345.25,+8.49817790E+03
714.856,345.15,+8.49566190E+03
719.882,345.04999999999995,+8.49310310E+03
724.884,344.95,+8.48935530E+03
729.901,344.84999999999997,+8.48704980E+03
734.916,344.75,+8.48391270E+03
739.920,344.65,+8.48055440E+03
744.936,344.54999999999995,+8.47761730E+03
749.947,344.45,+8.47512230E+03
754.962,344.34999999999997,+8.47116400E+03
759.965,344.25,+8.46785840E+03
765.296,344.25,+8.46514230E+03
770.299,344.04999999999995,+8.46186830E+03
775.346,343.95,+8.45897320E+03
780.382,343.84999999999997,+8.45562550E+03
785.384,343.75,+8.45229880E+03
790.397,343.75,+8.44953010E+03
795.436,343.65,+8.44657190E+03
800.452,343.54999999999995,+8.44297150E+03
805.467,343.34999999999997,+8.43969750E+03
810.510,343.34999999999997,+8.43647610E+03
815.528,343.25,+8.43365480E+03
820.534,343.15,+8.43005440E+03
825.548,343.04999999999995,+8.42688570E+03
830.563,342.95,+8.42355900E+03
835.580,342.84999999999997,+8.42044290E+03
840.582,342.75,+8.41669510E+03
845.611,342.75,+8.41408430E+03
850.619,342.54999999999995,+8.41091560E+03
855.623,342.45,+8.40707310E+03
860.636,342.34999999999997,+8.40348320E+03
865.647,342.34999999999997,+8.40037760E+03
870.649,342.15,+8.39746150E+03
875.665,342.15,+8.39427170E+03
880.714,342.04999999999995,+8.39059770E+03
885.729,341.95,+8.38739690E+03
890.756,341.84999999999997,+8.38407030E+03
895.786,341.75,+8.38071200E+03
900.795,341.75,+8.37744850E+03
