Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.514,317.95,+7.19700420E+03
6.522,317.84999999999997,+7.19611990E+03
11.556,317.84999999999997,+7.19434080E+03
16.589,317.84999999999997,+7.19259330E+03
21.605,317.75,+7.19083520E+03
26.606,317.84999999999997,+7.18906660E+03
31.619,317.75,+7.18734010E+03
36.656,317.65,+7.18560310E+03
41.660,317.65,+7.18388710E+03
46.662,317.65,+7.18215010E+03
51.667,317.54999999999995,+7.18041300E+03
56.718,317.54999999999995,+7.17867600E+03
61.719,317.54999999999995,+7.17694950E+03
66.723,317.45,+7.17520200E+03
71.731,317.45,+7.17350710E+03
76.736,317.45,+7.17177000E+03
81.775,317.45,+7.17008560E+03
86.806,317.34999999999997,+7.16842230E+03
91.853,317.34999999999997,+7.16670630E+03
96.886,317.34999999999997,+7.16495880E+03
101.919,317.34999999999997,+7.16329550E+03
106.937,317.25,+7.16161110E+03
111.988,317.25,+7.15992670E+03
116.989,317.25,+7.15823180E+03
122.003,317.15,+7.15652630E+03
127.023,317.15,+7.15485250E+03
132.033,317.15,+7.15322070E+03
137.037,317.04999999999995,+7.15154690E+03
142.052,317.04999999999995,+7.14988350E+03
147.063,316.95,+7.14819910E+03
152.075,317.04999999999995,+7.14655690E+03
157.076,316.95,+7.14488300E+03
162.086,316.84999999999997,+7.14321970E+03
167.094,316.84999999999997,+7.14158790E+03
172.095,316.84999999999997,+7.13994570E+03
177.104,316.84999999999997,+7.13829290E+03
182.155,316.75,+7.13662950E+03
187.157,316.75,+7.13498720E+03
192.173,316.75,+7.13335550E+03
197.188,316.75,+7.13170270E+03
202.196,316.75,+7.13011250E+03
207.206,316.54999999999995,+7.12848080E+03
212.219,316.54999999999995,+7.12680690E+03
217.219,316.54999999999995,+7.12523840E+03
222.221,316.45,+7.12363820E+03
227.238,316.45,+7.12198540E+03
232.257,316.45,+7.12036420E+03
237.285,316.45,+7.11874290E+03
242.294,316.45,+7.11713220E+03
247.320,316.34999999999997,+7.11553210E+03
252.329,316.34999999999997,+7.11396350E+03
257.340,316.34999999999997,+7.11232120E+03
262.352,316.25,+7.11073160E+03
267.360,316.25,+7.10913140E+03
272.363,316.25,+7.10753120E+03
277.367,316.25,+7.10599420E+03
282.372,316.15,+7.10437300E+03
287.410,316.04999999999995,+7.10280440E+03
292.422,316.04999999999995,+7.10121480E+03
297.435,316.04999999999995,+7.09962520E+03
302.452,315.95,+7.09807760E+03
307.460,315.95,+7.09648800E+03
312.471,315.95,+7.09488780E+03
317.518,315.95,+7.09335080E+03
322.522,315.84999999999997,+7.09180330E+03
327.523,315.84999999999997,+7.09021360E+03
332.535,315.84999999999997,+7.08867660E+03
337.539,315.75,+7.08711860E+03
342.588,315.75,+7.08558160E+03
347.605,315.75,+7.08404460E+03
352.619,315.75,+7.08251810E+03
357.628,315.65,+7.08100220E+03
362.630,315.75,+7.07943360E+03
367.685,315.65,+7.07788600E+03
372.686,315.65,+7.07637010E+03
377.697,315.54999999999995,+7.07483310E+03
382.703,315.54999999999995,+7.07333820E+03
387.719,315.54999999999995,+7.07176960E+03
392.726,315.45,+7.07027470E+03
397.754,315.45,+7.06875880E+03
402.762,315.45,+7.06724280E+03
407.768,315.45,+7.06571640E+03
412.776,315.34999999999997,+7.06425300E+03
417.786,315.34999999999997,+7.06270550E+03
422.795,315.34999999999997,+7.06122110E+03
427.808,315.34999999999997,+7.05969470E+03
432.820,315.25,+7.05818930E+03
437.836,315.25,+7.05669440E+03
442.859,315.25,+7.05521000E+03
447.867,315.25,+7.05371510E+03
452.886,315.15,+7.05216760E+03
457.903,315.04999999999995,+7.05072530E+03
462.920,315.04999999999995,+7.04923040E+03
467.924,315.04999999999995,+7.04774610E+03
472.943,315.04999999999995,+7.04627220E+03
477.953,315.04999999999995,+7.04477730E+03
482.960,314.95,+7.04333510E+03
487.971,315.04999999999995,+7.04188230E+03
492.988,314.95,+7.04039790E+03
497.990,314.84999999999997,+7.03892410E+03
502.994,314.84999999999997,+7.03746080E+03
507.996,314.84999999999997,+7.03601850E+03
513.017,314.84999999999997,+7.03455520E+03
518.030,314.84999999999997,+7.03310240E+03
523.052,314.75,+7.03169180E+03
528.054,314.75,+7.03020740E+03
533.072,314.75,+7.02876510E+03
538.086,314.65,+7.02732290E+03
543.109,314.54999999999995,+7.02589110E+03
548.121,314.54999999999995,+7.02446940E+03
553.160,314.54999999999995,+7.02302720E+03
558.192,314.45,+7.02160600E+03
563.221,314.45,+7.02016370E+03
568.232,314.45,+7.01874250E+03
573.257,314.45,+7.01731080E+03
578.297,314.45,+7.01591070E+03
583.306,314.34999999999997,+7.01447890E+03
588.331,314.34999999999997,+7.01305770E+03
593.366,314.34999999999997,+7.01167860E+03
598.377,314.34999999999997,+7.01025740E+03
603.419,314.34999999999997,+7.00886780E+03
608.441,314.25,+7.00744660E+03
613.452,314.25,+7.00606750E+03
618.462,314.25,+7.00466740E+03
623.477,314.15,+7.00328830E+03
628.485,314.04999999999995,+7.00191970E+03
633.490,314.04999999999995,+7.00053010E+03
638.496,314.04999999999995,+6.99913000E+03
643.506,314.04999999999995,+6.99779300E+03
648.519,314.04999999999995,+6.99638230E+03
653.519,314.04999999999995,+6.99503480E+03
658.522,313.95,+6.99365570E+03
663.542,313.95,+6.99231870E+03
668.556,313.95,+6.99095020E+03
673.560,313.84999999999997,+6.98958160E+03
678.570,313.84999999999997,+6.98819200E+03
683.586,313.84999999999997,+6.98688660E+03
688.601,313.84999999999997,+6.98551800E+03
693.609,313.84999999999997,+6.98416000E+03
