Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.972,490.35,1584.74894
10.401,488.55,1596.77124
15.881,485.15,1619.1419799999999
21.365,481.15,1641.3401
26.842,478.15,1663.0939599999997
32.312,475.15,1684.64578
37.789,472.15,1705.84588
43.271,470.15,1726.59752
48.769,467.15,1747.19336
54.241,464.15,1767.2038800000003
59.714,462.15,1787.1346600000002
65.187,460.15,1806.69038
70.655,457.75,1826.0018800000003
76.139,455.75,1845.02912
81.617,453.55,1863.8500399999998
87.107,451.55,1882.2288
92.579,449.35,1900.48144
98.072,447.95,1918.4938399999999
103.564,445.95,1936.1188200000001
109.046,444.15,1953.56488
114.537,442.15,1970.73718
