Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.478,414.54999999999995,+5.77609230E+03
7.874,414.45,+5.78181920E+03
13.545,414.25,+5.78877780E+03
21.105,414.04999999999995,+5.79563110E+03
29.363,413.95,+5.80103170E+03
34.363,413.95,+5.80533740E+03
39.388,413.75,+5.81013790E+03
44.391,413.65,+5.81470680E+03
49.397,413.54999999999995,+5.81866510E+03
54.428,413.45,+5.82340250E+03
59.437,413.34999999999997,+5.82825560E+03
64.440,413.25,+5.83272980E+03
69.462,413.04999999999995,+5.83810930E+03
74.464,412.95,+5.84440470E+03
79.465,412.84999999999997,+5.85034210E+03
84.473,412.75,+5.85731130E+03
89.495,412.45,+5.86502790E+03
94.502,412.34999999999997,+5.87166010E+03
99.528,412.04999999999995,+5.88046150E+03
104.529,411.84999999999997,+5.88953620E+03
109.545,411.65,+5.89951620E+03
114.554,411.45,+5.90906450E+03
119.565,411.04999999999995,+5.91874980E+03
124.566,410.84999999999997,+5.93095100E+03
130.210,410.54999999999995,+5.94182580E+03
135.237,410.34999999999997,+5.95343760E+03
140.570,409.95,+5.96452300E+03
145.591,409.75,+5.97593470E+03
150.595,409.45,+5.98709410E+03
155.614,409.15,+5.99933750E+03
160.627,408.84999999999997,+6.01128610E+03
165.647,408.45,+6.02307680E+03
170.667,408.25,+6.03540440E+03
175.678,408.04999999999995,+6.04773200E+03
180.695,407.65,+6.05968070E+03
185.700,407.34999999999997,+6.07246090E+03
190.706,407.04999999999995,+6.08499950E+03
195.729,406.75,+6.09745340E+03
200.732,406.34999999999997,+6.11026530E+03
205.747,406.04999999999995,+6.12271920E+03
210.761,405.84999999999997,+6.13617320E+03
215.769,405.54999999999995,+6.14890090E+03
220.779,405.25,+6.16168120E+03
225.795,404.95,+6.17469310E+03
230.812,404.54999999999995,+6.18749470E+03
235.813,404.34999999999997,+6.19992760E+03
240.814,404.04999999999995,+6.21324470E+03
245.827,403.75,+6.22577240E+03
250.829,403.45,+6.23830000E+03
255.839,403.04999999999995,+6.25151190E+03
260.848,402.84999999999997,+6.26393420E+03
265.859,402.54999999999995,+6.27787250E+03
270.876,402.25,+6.29052650E+03
275.882,401.95,+6.30323360E+03
280.895,401.65,+6.31585600E+03
285.895,401.34999999999997,+6.32902580E+03
290.910,400.95,+6.34932260E+03
298.657,400.54999999999995,+6.36480840E+03
304.976,400.25,+6.37997840E+03
310.964,399.95,+6.39291660E+03
315.964,399.54999999999995,+6.40617100E+03
320.977,399.45,+6.41838280E+03
325.982,399.15,+6.43176320E+03
330.996,398.84999999999997,+6.44391180E+03
336.003,398.54999999999995,+6.45656580E+03
341.047,398.34999999999997,+6.46884070E+03
346.066,397.95,+6.48160000E+03
351.078,397.84999999999997,+6.49510660E+03
356.089,397.45,+6.50686630E+03
361.095,397.25,+6.51958340E+03
366.106,396.95,+6.53249000E+03
371.129,396.65,+6.54458600E+03
376.130,396.45,+6.55793470E+03
381.146,396.25,+6.56978860E+03
386.162,395.95,+6.58157930E+03
391.176,395.65,+6.59410690E+03
396.188,395.45,+6.60681400E+03
401.194,395.15,+6.61729930E+03
406.196,394.95,+6.63115340E+03
411.200,394.65,+6.64348100E+03
416.210,394.45,+6.65551390E+03
421.227,394.25,+6.66852570E+03
426.233,393.95,+6.67996900E+03
431.249,393.75,+6.69245460E+03
436.262,393.45,+6.70499270E+03
441.277,393.25,+6.71640490E+03
446.292,392.95,+6.72927990E+03
451.297,392.75,+6.74122860E+03
456.308,392.54999999999995,+6.75240870E+03
461.313,392.34999999999997,+6.76528370E+03
466.330,392.04999999999995,+6.77631640E+03
471.336,391.84999999999997,+6.78848610E+03
476.362,391.54999999999995,+6.80125590E+03
481.367,391.34999999999997,+6.81182540E+03
486.377,391.04999999999995,+6.82445880E+03
491.396,390.95,+6.83635480E+03
496.411,390.54999999999995,+6.84880870E+03
502.078,390.45,+6.86168370E+03
507.095,390.15,+6.87687480E+03
513.626,389.95,+6.88821280E+03
518.634,389.75,+6.89954030E+03
523.640,389.54999999999995,+6.91135210E+03
528.660,389.25,+6.92276410E+03
533.662,389.04999999999995,+6.93379680E+03
538.670,388.84999999999997,+6.94610340E+03
543.682,388.65,+6.95755720E+03
548.693,388.45,+6.96930580E+03
553.697,388.25,+6.98088600E+03
558.709,388.04999999999995,+6.99136070E+03
563.709,387.84999999999997,+7.00254080E+03
568.716,387.65,+7.01407890E+03
573.727,387.34999999999997,+7.02523790E+03
578.743,387.25,+7.03660810E+03
583.762,386.95,+7.05479940E+03
588.771,386.75,+7.06634800E+03
593.777,386.54999999999995,+7.07047470E+03
598.795,386.34999999999997,+7.08064420E+03
603.798,386.25,+7.09196120E+03
608.814,385.95,+7.10355190E+03
613.826,385.75,+7.11317390E+03
618.829,385.54999999999995,+7.12564890E+03
623.843,385.34999999999997,+7.13680850E+03
628.859,385.25,+7.14710430E+03
633.862,384.75,+7.17110680E+03
645.360,384.54999999999995,+7.18436080E+03
651.362,384.34999999999997,+7.19593040E+03
656.395,384.15,+7.20625780E+03
661.403,383.95,+7.21746950E+03
666.429,383.95,+7.22880760E+03
671.430,383.65,+7.23772470E+03
676.442,383.45,+7.24927330E+03
681.473,383.25,+7.25997960E+03
