Tiempo (s),Temperatura (K),Resistencia (Ohm)
2.413,463.04999999999995,+3.84941000E+03
7.427,462.84999999999997,+3.85250510E+03
12.463,462.75,+3.85882150E+03
17.477,462.54999999999995,+3.86467480E+03
22.490,462.45,+3.87101230E+03
27.511,462.25,+3.87679180E+03
32.551,462.04999999999995,+3.88269820E+03
37.560,461.95,+3.88874090E+03
42.586,461.84999999999997,+3.89455210E+03
47.594,461.75,+3.90019480E+03
52.595,461.54999999999995,+3.90570060E+03
57.610,461.45,+3.91135380E+03
62.617,461.34999999999997,+3.91723860E+03
67.627,461.25,+3.92255500E+03
72.629,460.04999999999995,+3.96602270E+03
113.797,459.95,+3.97104430E+03
118.842,459.84999999999997,+3.97639220E+03
123.849,459.75,+3.98135060E+03
128.852,459.54999999999995,+3.98581450E+03
133.877,459.54999999999995,+3.99095190E+03
138.896,459.34999999999997,+3.99569980E+03
143.915,459.25,+4.00038450E+03
148.926,459.15,+4.00581660E+03
153.944,459.04999999999995,+4.01028020E+03
158.975,458.84999999999997,+4.01509130E+03
163.978,458.75,+4.01973390E+03
168.996,458.65,+4.02437640E+03
174.014,458.54999999999995,+4.02884010E+03
179.014,458.45,+4.03330370E+03
184.042,458.34999999999997,+4.03772520E+03
189.060,458.25,+4.04214670E+03
194.076,458.04999999999995,+4.04651560E+03
199.077,457.95,+4.05080030E+03
204.098,457.84999999999997,+4.05506390E+03
209.111,457.84999999999997,+4.05928530E+03
214.114,457.75,+4.06384370E+03
219.143,457.65,+4.06791780E+03
224.144,457.45,+4.07185510E+03
229.144,457.34999999999997,+4.07615030E+03
234.157,457.25,+4.08029810E+03
239.178,457.25,+4.08424580E+03
244.182,457.04999999999995,+4.08833050E+03
249.189,456.95,+4.09242590E+03
254.210,456.84999999999997,+4.09627900E+03
259.218,456.75,+4.10018470E+03
264.243,456.65,+4.10412190E+03
269.256,456.54999999999995,+4.10789070E+03
274.275,456.45,+4.11165950E+03
279.310,456.34999999999997,+4.11532310E+03
284.323,456.34999999999997,+4.11903930E+03
289.358,456.25,+4.12252380E+03
294.380,456.15,+4.12584000E+03
299.391,456.04999999999995,+4.12971410E+03
304.410,455.95,+4.13304070E+03
309.423,455.84999999999997,+4.13653580E+03
314.453,455.75,+4.13986250E+03
319.476,455.75,+4.14311550E+03
324.480,455.65,+4.14657900E+03
329.494,455.54999999999995,+4.14990560E+03
334.508,455.45,+4.15315860E+03
339.518,455.34999999999997,+4.15635890E+03
344.530,455.34999999999997,+4.15952770E+03
349.554,455.25,+4.16287540E+03
354.585,455.25,+4.16586520E+03
359.620,455.04999999999995,+4.16904450E+03
364.642,455.04999999999995,+4.17208690E+03
369.647,454.95,+4.17497140E+03
374.664,454.84999999999997,+4.17789800E+03
379.679,454.84999999999997,+4.18088780E+03
384.692,454.75,+4.18371970E+03
389.710,454.75,+4.18666740E+03
394.716,454.54999999999995,+4.18946770E+03
399.762,454.54999999999995,+4.19217320E+03
404.791,454.45,+4.19497400E+03
409.810,454.45,+4.19799540E+03
414.811,454.34999999999997,+4.20025880E+03
419.842,454.34999999999997,+4.20285900E+03
424.862,454.25,+4.20542770E+03
429.876,454.15,+4.20791220E+03
435.260,454.04999999999995,+4.21055460E+03
440.295,453.95,+4.21299690E+03
445.308,453.95,+4.21550250E+03
450.322,453.95,+4.21786060E+03
455.344,453.84999999999997,+4.21991340E+03
460.345,453.84999999999997,+4.22244000E+03
465.350,453.75,+4.22472450E+03
470.359,453.75,+4.22680890E+03
475.360,453.65,+4.22931440E+03
480.380,453.54999999999995,+4.23126200E+03
485.395,453.54999999999995,+4.23308320E+03
490.399,453.45,+4.23542030E+03
495.411,453.45,+4.23764160E+03
500.422,453.34999999999997,+4.23964180E+03
505.430,453.34999999999997,+4.24158940E+03
510.443,453.34999999999997,+4.24352640E+03
515.463,453.25,+4.24545290E+03
520.476,453.25,+4.24695840E+03
525.485,453.15,+4.24926390E+03
530.492,453.04999999999995,+4.25121140E+03
535.514,453.04999999999995,+4.25360120E+03
540.525,452.95,+4.25640150E+03
545.544,452.84999999999997,+4.25992810E+03
550.556,452.84999999999997,+4.26441280E+03
555.557,452.65,+4.26948700E+03
560.574,452.54999999999995,+4.27557190E+03
565.575,452.34999999999997,+4.28202520E+03
570.576,452.15,+4.28974180E+03
575.579,451.95,+4.29798470E+03
580.610,451.75,+4.30669120E+03
585.613,451.45,+4.31629220E+03
590.656,451.25,+4.32611430E+03
