Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.567,296.04999999999995,+6.13754180E+03
6.587,296.04999999999995,+6.13814190E+03
11.597,296.04999999999995,+6.14025790E+03
16.614,296.04999999999995,+6.14333190E+03
21.630,296.04999999999995,+6.14632170E+03
26.647,296.25,+6.14947990E+03
31.663,296.34999999999997,+6.15321710E+03
36.681,296.34999999999997,+6.15859660E+03
41.714,296.54999999999995,+6.16677640E+03
46.720,296.75,+6.17931460E+03
51.745,297.25,+6.19713780E+03
56.759,297.65,+6.22048760E+03
61.781,298.25,+6.24988010E+03
66.787,299.25,+6.28534700E+03
71.791,301.45,+6.37640960E+03
82.045,302.45,+6.42954190E+03
87.062,303.95,+6.48810590E+03
92.080,305.45,+6.55140780E+03
97.081,306.84999999999997,+6.61945750E+03
102.091,308.75,+6.69207560E+03
107.111,311.25,+6.79743440E+03
114.163,313.04999999999995,+6.87933820E+03
119.198,314.84999999999997,+6.97581170E+03
124.535,316.84999999999997,+7.06547420E+03
129.546,319.25,+7.15740010E+03
134.548,321.54999999999995,+7.26973850E+03
140.548,323.54999999999995,+7.36598070E+03
145.568,325.65,+7.46520210E+03
150.579,327.95,+7.55703310E+03
155.579,331.45,+7.71737670E+03
163.476,333.45,+7.81596650E+03
168.498,335.84999999999997,+7.91209270E+03
173.514,338.04999999999995,+8.00194480E+03
178.521,339.95,+8.09439690E+03
183.545,342.54999999999995,+8.17579490E+03
188.548,345.45,+8.25041380E+03
193.551,346.75,+8.31256810E+03
198.552,349.34999999999997,+8.36890030E+03
203.553,351.65,+8.40635720E+03
208.568,353.54999999999995,+8.43456010E+03
213.581,355.95,+8.44414010E+03
218.584,358.45,+8.43069660E+03
223.587,361.25,+8.41540020E+03
229.880,363.95,+8.36692110E+03
234.892,365.34999999999997,+8.32486410E+03
239.899,367.84999999999997,+8.25128760E+03
244.947,369.65,+7.90037570E+03
249.948,371.84999999999997,+8.05918230E+03
254.960,374.34999999999997,+7.96530880E+03
259.969,376.54999999999995,+7.82756770E+03
264.982,378.34999999999997,+7.77538330E+03
269.994,381.34999999999997,+7.64093660E+03
276.642,383.65,+7.54052570E+03
286.695,388.54999999999995,+7.32181770E+03
291.714,389.84999999999997,+7.24683090E+03
296.718,392.04999999999995,+7.12708070E+03
306.780,395.84999999999997,+6.92385890E+03
311.815,398.04999999999995,+6.81621580E+03
316.849,401.15,+6.68510640E+03
324.120,402.65,+6.58942220E+03
329.154,405.25,+6.50305530E+03
334.165,406.95,+6.41650900E+03
339.181,408.75,+6.33943740E+03
