Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.528,378.45,+7.55068510E+03
6.544,378.34999999999997,+7.55589610E+03
11.581,378.15,+7.56548660E+03
16.586,377.95,+7.57521390E+03
21.587,377.84999999999997,+7.58446750E+03
26.601,377.75,+7.59436330E+03
31.609,377.54999999999995,+7.60192200E+03
36.632,377.34999999999997,+7.61133350E+03
41.635,377.25,+7.62172400E+03
46.638,377.04999999999995,+7.63069340E+03
51.652,376.95,+7.64016810E+03
56.664,376.75,+7.64852680E+03
61.667,376.65,+7.65911800E+03
66.681,376.45,+7.66824530E+03
71.687,376.34999999999997,+7.67501440E+03
76.701,376.25,+7.68496280E+03
81.737,376.04999999999995,+7.69531130E+03
86.766,375.95,+7.70226990E+03
91.807,375.84999999999997,+7.71295520E+03
96.810,375.65,+7.72028230E+03
101.812,375.54999999999995,+7.72884110E+03
106.834,375.34999999999997,+7.73840000E+03
111.878,375.25,+7.74599020E+03
116.900,374.95,+7.75947590E+03
124.209,374.85,+7.77500430E+03
133.938,374.54999999999995,+7.78327880E+03
