Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.519,423.75,+5.40185140E+03
6.541,423.65,+5.40858900E+03
11.572,423.45,+5.41601080E+03
16.589,423.34999999999997,+5.42210620E+03
21.616,423.04999999999995,+5.42969640E+03
26.627,422.95,+5.43611810E+03
31.639,422.84999999999997,+5.44257140E+03
36.639,422.65,+5.44969850E+03
41.645,422.45,+5.45594190E+03
46.672,422.34999999999997,+5.46263730E+03
51.678,422.04999999999995,+5.46937480E+03
56.689,421.95,+5.47596500E+03
61.715,421.75,+5.48243940E+03
66.717,421.65,+5.48860840E+03
71.729,421.45,+5.49484070E+03
76.739,421.34999999999997,+5.50138870E+03
81.745,421.25,+5.50782100E+03
86.772,420.04999999999995,+5.54921480E+03
120.579,419.95,+5.55551010E+03
125.623,419.84999999999997,+5.56160590E+03
130.629,419.65,+5.56758550E+03
135.640,419.54999999999995,+5.57354400E+03
140.650,419.34999999999997,+5.57938670E+03
145.661,419.25,+5.58529260E+03
150.676,419.04999999999995,+5.59111430E+03
155.684,418.95,+5.59685170E+03
160.706,418.84999999999997,+5.60248390E+03
165.753,418.65,+5.60862140E+03
170.773,418.54999999999995,+5.61433770E+03
175.782,418.45,+5.61983310E+03
180.783,418.25,+5.62500200E+03
185.787,418.04999999999995,+5.63113950E+03
190.806,417.95,+5.63610840E+03
195.819,417.84999999999997,+5.64142480E+03
200.871,417.75,+5.64717270E+03
205.877,417.54999999999995,+5.65223640E+03
210.910,417.45,+5.65771070E+03
215.936,417.34999999999997,+5.66336430E+03
220.949,417.25,+5.66834380E+03
225.976,417.04999999999995,+5.67392330E+03
231.022,416.95,+5.67912380E+03
236.045,416.84999999999997,+5.68467180E+03
241.072,416.65,+5.69007240E+03
246.083,416.45,+5.69492550E+03
251.108,416.45,+5.70046290E+03
256.117,416.25,+5.70545290E+03
261.771,416.15,+5.71163250E+03
266.806,415.95,+5.71600140E+03
271.822,415.84999999999997,+5.72079140E+03
276.838,415.75,+5.72658140E+03
281.845,415.65,+5.73130820E+03
286.857,415.54999999999995,+5.73669830E+03
292.206,415.45,+5.74230940E+03
297.558,415.25,+5.74714150E+03
302.588,414.95,+5.75310000E+03
