Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.822,389.45,2531.4183399999997
7.369,389.95,2524.0975599999997
12.834,390.75,2516.8273
18.323,390.95,2509.67894
23.814,391.45,2502.5960999999998
29.299,391.25,2495.58272
34.780,392.34999999999997,2488.5672600000003
40.286,392.84999999999997,2481.58128
45.774,393.34999999999997,2474.61004
51.259,393.75,2467.7187599999997
56.734,394.25,2460.94542
62.220,394.54999999999995,2454.29842
67.722,395.04999999999995,2447.82194
73.229,395.54999999999995,2441.53496
78.734,395.95,2435.5427799999998
