Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.475,425.95,1994.9189600000002
7.097,427.15,1988.78116
12.571,427.15,1982.2667999999999
18.046,427.75,1975.8745600000002
23.515,428.15,1969.36862
28.985,429.15,1962.8353200000001
34.473,429.15,1956.3209400000003
39.945,430.15,1949.80026
45.438,430.15,1943.2332600000002
50.916,431.15,1936.8789199999999
56.395,431.15,1930.4235
61.876,432.15,1924.1281000000004
67.351,433.15,1917.73164
72.836,434.15,1911.43414
78.301,434.15,1905.1155999999999
83.769,434.15,1898.82438
89.246,435.15,1892.50586
94.722,436.15,1886.04604
100.205,436.15,1879.52746
105.679,437.15,1872.8467800000003
111.181,437.15,1866.0692
116.662,438.15,1859.3421999999998
122.146,438.15,1852.5541
127.618,439.15,1845.7386599999998
133.094,440.15,1838.9106199999999
138.571,440.15,1832.1962199999998
144.040,441.15,1825.42288
149.507,441.15,1818.6642800000002
154.983,442.15,1812.0678
160.454,443.15,1805.4776400000003
165.928,443.15,1798.88114
171.410,444.15,1792.4805000000001
176.905,444.15,1786.0566599999997
182.387,445.15,1779.91678
187.855,446.15,1773.89932
193.346,446.15,1768.3997800000002
198.823,447.15,1763.59506
204.296,447.15,1759.32094
209.772,448.15,1755.60688
215.245,448.15,1752.3938999999998
220.724,449.15,1749.63992
226.217,450.15,1747.4691599999999
231.696,450.15,1745.88374
237.181,450.15,1744.7004800000002
242.690,450.15,1743.9235400000002
248.161,451.15,1743.53194
253.634,451.15,1743.5824600000003
259.122,451.15,1744.2499
264.612,451.15,1745.48792
270.089,451.15,1747.3196799999998
275.556,451.15,1749.7536
281.028,451.15,1752.67182
286.507,451.15,1756.1605799999998
291.989,451.15,1760.3
297.467,451.15,1765.1151999999997
302.945,451.15,1770.3515599999998
308.448,450.15,1776.1248
313.918,450.15,1782.1906999999999
319.407,449.15,1788.7580000000003
324.876,449.15,1795.6724
330.347,449.15,1802.8899999999999
335.821,448.15,1810.32654
341.291,447.15,1818.0600000000002
346.770,447.15,1826.10926
352.240,446.15,1834.3711600000001
357.710,446.15,1843.0457600000002
363.185,445.15,1851.9856399999996
368.669,444.15,1861.5908599999998
374.168,444.15,1871.30554
379.648,443.15,1882.1488000000002
385.126,442.15,1892.0174000000002
390.615,441.15,1893.82598
396.094,440.15,1900.6098599999998
401.572,440.15,1901.18676
407.051,440.15,1893.5122799999997
412.521,440.15,1878.9231800000002
418.002,440.15,1860.2433399999998
423.471,441.15,1838.85374
428.937,442.15,1816.1629400000002
434.416,443.15,1792.60472
439.923,444.15,1768.7808799999998
445.402,446.15,1745.33
450.884,447.95,1722.1381000000001
456.356,449.35,1699.68104
461.837,451.15,1678.0639999999999
467.317,453.15,1651.45062
472.792,455.15,1612.67394
478.270,457.75,1567.7237
483.738,461.15,1516.3225200000002
489.209,465.15,1463.64116
494.685,469.35,1416.851
500.193,475.55,1371.65262
505.749,481.15,1333.65466
511.219,487.15,1299.25106
516.701,494.15,1268.9279199999999
522.259,501.35,1243.4428599999999
527.728,509.35,1219.9141
533.210,519.55,1199.71618
538.686,530.95,1182.1880199999998
