Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.502,421.75,2217.90492
7.127,419.15,2231.81374
12.689,418.05,2245.22988
18.161,417.00999999999993,2258.61654
23.643,416.00999999999993,2271.7379
29.115,414.85,2284.76034
34.592,413.89,2297.5300799999995
40.058,412.95,2310.1863399999997
45.551,412.16999999999996,2322.68448
51.022,410.95,2335.0099600000003
56.505,410.27,2347.24074
61.988,409.15,2359.2672599999996
67.480,408.31000000000006,2371.17798
72.963,407.59,2382.9076
78.447,406.63,2394.4604
83.916,405.87,2405.89738
89.406,405.04999999999995,2417.16192
94.885,404.04999999999995,2428.36938
100.373,403.51,2439.34318
105.850,402.54999999999995,2450.23274
111.344,401.89,2461.0001600000005
116.825,401.27,2471.6138999999994
122.292,400.53,2482.1644800000004
127.842,399.71000000000004,2492.62874
133.329,399.00999999999993,2502.9434800000004
138.816,398.28999999999996,2513.0561399999997
144.291,397.75,2523.0637800000004
149.768,396.95,2532.9637799999996
155.240,396.25,2542.7711000000004
160.715,395.75,2552.4858200000003
166.202,394.92999999999995,2562.0762999999997
171.697,394.25,2571.5720200000005
177.228,393.75,2581.02142
182.712,393.04999999999995,2590.25396
188.186,392.45,2599.4065
193.659,391.84999999999997,2608.4705999999996
199.134,391.15,2617.39786
204.603,390.75,2626.24948
210.074,390.25,2634.97462
215.548,389.49,2643.63868
221.025,389.16999999999996,2652.37644
226.577,388.54999999999995,2660.74784
232.063,387.84999999999997,2669.12554
237.534,387.34999999999997,2677.3895600000005
243.021,386.89,2685.60516
248.493,386.49,2693.6818
253.967,385.97,2701.71
259.437,385.54999999999995,2709.6371599999998
264.912,384.83,2717.4864000000002
270.391,384.40999999999997,2725.25562
275.865,383.95,2732.9725999999996
281.347,383.49,2740.72292
286.910,382.95,2748.21212
292.374,382.57,2755.7329
297.860,381.95,2763.01156
303.340,381.73,2770.3639
308.834,381.31,2777.5919999999996
314.313,380.7299999999999,2784.75486
319.790,380.34999999999997,2791.84612
325.261,379.95,2798.95212
330.741,379.47,2805.88968
336.211,379.15,2812.77464
341.682,378.73,2819.64058
347.166,378.34999999999997,2826.4392
352.654,377.95,2833.1643000000004
358.127,377.54999999999995,2839.8008
363.607,377.15,2846.35518
369.067,376.84999999999997,2852.9200599999995
374.569,376.34999999999997,2859.41548
380.046,375.95,2865.8393
385.520,375.45,2872.1852200000003
390.996,375.25,2878.5143200000007
396.481,374.84999999999997,2884.77394
401.972,374.45,2890.96612
407.449,374.25,2897.0089
412.939,373.65,2903.0242399999997
418.408,373.54999999999995,2909.05858
423.881,373.25,2915.02974
429.369,372.65,2920.9039999999995
434.844,372.45,2926.7404200000005
440.339,372.25,2932.61892
445.817,371.84999999999997,2938.5946799999997
451.287,371.54999999999995,2944.1784
456.770,371.25,2949.8610999999996
462.234,370.84999999999997,2955.59222
467.714,370.45,2961.00966
473.190,370.25,2966.5639
478.659,369.95,2972.1013
484.145,369.57,2977.5503
489.633,369.34999999999997,2982.97826
495.116,369.04999999999995,2988.3450999999995
500.634,368.75,2993.7267400000005
506.117,368.49,2999.06414
511.602,368.19000000000005,3004.32362
517.074,367.86999999999995,3009.4989000000005
522.550,367.54999999999995,3014.64262
528.019,367.33,3019.8242
533.497,366.95,3024.88998
538.983,366.75,3029.9684
544.470,366.45,3035.1331600000003
549.942,366.25,3040.05156
555.402,365.95,3045.03132
560.879,365.66999999999996,3049.98132
566.370,365.34999999999997,3054.9102600000006
571.846,365.23,3059.77184
577.320,364.89,3064.62074
582.886,364.69000000000005,3069.4023
588.361,364.36999999999995,3074.2891200000004
593.917,364.04999999999995,3078.98434
599.399,363.84999999999997,3083.67328
604.875,363.60999999999996,3088.3537399999996
610.347,363.39,3092.985820000001
615.844,363.16999999999996,3097.6410400000004
621.331,362.95,3102.25838
626.804,362.65,3106.75778
632.319,362.42999999999995,3111.33302
637.801,362.15,3115.81768
643.270,361.95,3120.39078
648.740,361.75,3124.95126
654.211,361.45,3129.36224
659.697,361.34999999999997,3133.7079599999997
665.176,361.04999999999995,3138.1463000000003
670.667,360.84999999999997,3142.50258
676.159,360.54999999999995,3146.87794
681.649,360.34999999999997,3151.26158
687.123,360.15,3155.5778400000004
692.609,359.86999999999995,3159.96142
698.197,359.73,3164.1871199999996
703.680,359.45,3168.3349600000006
709.163,359.25,3172.4785199999997
714.655,359.04999999999995,3176.67478
720.132,358.84999999999997,3180.7825399999997
725.621,358.57,3184.85246
731.099,358.34999999999997,3188.9539200000004
736.572,358.15,3193.0512
742.049,357.95,3197.15898
747.524,357.75,3201.0941399999997
752.991,357.54999999999995,3205.14298
758.464,357.28999999999996,3209.1960400000003
763.966,357.04999999999995,3213.10592
769.462,356.92999999999995,3217.10004
774.934,356.75,3221.0836000000004
780.414,356.51,3225.01244
785.886,356.34999999999997,3228.9475599999996
791.353,356.15,3232.6932399999996
796.826,355.95,3236.50624
802.306,355.75,3240.3129799999997
807.771,355.54999999999995,3244.2165200000004
813.244,355.34999999999997,3248.0885399999997
818.726,355.21000000000004,3251.95248
824.205,354.95,3255.8792000000003
829.711,354.78999999999996,3259.6711800000003
835.192,354.59,3263.4842
840.672,354.45,3267.23196
846.151,354.25,3270.9649999999997
851.622,354.04999999999995,3274.62432
857.101,353.84999999999997,3278.3636400000005
862.571,353.75,3282.07984
868.045,353.45,3285.7749599999997
873.520,353.34999999999997,3289.4279800000004
878.992,353.25,3293.0494
884.462,353.04999999999995,3296.6813799999995
889.937,352.75,3300.3006800000003
895.437,352.54999999999995,3304.00212
900.901,352.45,3307.57304
906.385,352.25,3311.1734000000006
911.856,352.04999999999995,3314.92746
917.328,351.95,3318.2204599999995
922.808,351.75,3322.0103000000004
928.278,351.54999999999995,3325.5159400000002
933.746,351.34999999999997,3328.9036800000003
939.226,351.21000000000004,3332.49352
944.691,351.04999999999995,3336.00548
950.168,350.78999999999996,3339.4542800000004
955.644,350.65,3342.9662
961.141,350.54999999999995,3346.5665600000007
966.618,350.34999999999997,3350.36906
972.099,350.23,3353.8368
977.574,350.04999999999995,3357.35746
983.080,349.84999999999997,3360.8862400000007
988.562,349.75,3364.40662
994.032,349.54999999999995,3368.67022
999.515,349.34999999999997,3374.81822
1004.997,349.13,3377.9680400000007
1010.480,348.95,3381.5284199999996
1015.974,348.84999999999997,3384.9982600000003
1021.484,348.69000000000005,3388.4343799999997
1026.965,348.54999999999995,3391.82844
1032.435,348.34999999999997,3395.25196
1037.905,348.25,3398.6502
1043.385,348.03,3402.09266
1048.880,347.84999999999997,3405.44248
1054.354,347.71000000000004,3408.8386
1059.828,347.45,3412.1884400000004
1065.309,347.34999999999997,3415.4898200000002
1070.786,347.15,3418.9217799999997
1076.258,346.97,3422.2653
1081.732,346.84999999999997,3425.60668
1087.232,346.75,3428.9123
1092.723,346.54999999999995,3432.3105600000004
1098.190,346.34999999999997,3435.6035199999997
1103.665,346.25,3438.87336
1109.149,345.97,3442.17474
1114.631,345.84999999999997,3445.5414000000005
1120.197,345.75,3448.7564999999995
1125.675,345.54999999999995,3452.02208
1131.152,345.45,3455.3045599999996
1136.625,345.28999999999996,3458.5616999999997
1142.098,345.15,3461.7853999999998
1147.578,344.95,3465.0468
1153.119,344.81,3468.2597800000003
1158.602,344.65,3471.4958999999994
1164.084,344.49,3474.6962399999998
1169.560,344.34999999999997,3477.86708
1175.029,344.25,3481.0463600000003
1180.515,344.04999999999995,3484.23196
1185.992,343.95,3487.4070399999996
1191.472,343.84999999999997,3490.5526
1196.952,343.65,3493.7277000000004
1202.433,343.45,3496.88382
1207.913,343.34999999999997,3500.0336
1213.391,343.25,3503.1286600000008
1218.892,343.03,3506.2974200000003
1224.368,342.84999999999997,3509.40932
1229.841,342.75,3512.531740000001
1235.316,342.54999999999995,3515.65838
1240.785,342.39,3518.75768
1246.261,342.25,3521.8738
1251.725,342.07,3524.94778
1257.197,341.95,3528.0091600000005
1262.671,341.84999999999997,3531.1294799999996
1268.150,341.73,3534.2034999999996
1273.625,341.54999999999995,3537.2775
1279.108,341.39,3540.43992
1284.615,341.28999999999996,3543.50552
1290.097,341.04999999999995,3546.8069200000004
1295.584,340.95,3550.1441
1301.054,340.84999999999997,3553.12126
1306.529,340.71000000000004,3556.16576
1312.013,340.54999999999995,3559.2250400000003
1317.478,340.45,3562.1516600000004
1322.952,340.34999999999997,3565.3123800000003
1328.442,340.16999999999996,3568.2833399999995
1333.919,339.95,3571.34048
1339.400,339.84999999999997,3574.3828999999996
1344.875,339.75,3577.5158800000004
1350.384,339.54999999999995,3580.4677600000005
1355.891,339.45,3583.2259400000003
