Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.485,396.04999999999995,2425.0659000000005
7.096,397.04999999999995,2420.0064200000006
12.562,397.45,2415.0248399999996
18.033,397.84999999999997,2410.19466
23.519,398.23,2405.6047200000003
29.072,398.46999999999997,2401.44216
34.635,398.78999999999996,2397.4649
40.200,399.34999999999997,2393.8203399999998
45.688,399.45,2390.3715600000005
51.160,399.75,2387.1817600000004
56.625,400.04999999999995,2384.16036
62.102,400.25,2381.339
67.570,400.48999999999995,2378.57664
73.137,400.25,2376.55536
78.615,400.95,2374.23724
84.088,401.13,2372.27702
89.568,401.34999999999997,2371.3043
95.043,401.45,2371.1358600000003
100.506,401.54999999999995,2371.79908
105.986,401.54999999999995,2365.47
111.470,401.54999999999995,2359.64834
116.948,401.48999999999995,2353.5634999999997
122.415,402.15,2342.7623599999997
127.899,402.75,2329.16308
133.368,403.37,2313.9572599999997
138.848,404.15,2298.1553799999997
144.320,404.25,2282.2484799999997
149.794,405.71,2266.6321000000003
155.272,406.45,2251.4452799999995
160.745,407.34999999999997,2236.6985
166.222,408.34999999999997,2222.41908
171.703,409.03,2208.61344
177.368,409.98999999999995,2195.07058
182.845,410.37,2182.5261199999995
188.321,411.75,2170.4216800000004
193.800,412.5299999999999,2158.6983600000003
199.273,413.35,2147.3876800000003
