Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.488,316.25,4088.82734
7.000,316.45,4084.7743199999995
12.469,316.65,4080.78864
17.945,316.84999999999997,4076.69978
23.435,317.04999999999995,4073.1036200000003
28.918,317.25,4069.34956
34.395,317.45,4065.8860400000003
39.879,317.54999999999995,4062.3341200000004
45.388,317.75,4058.8811199999996
50.862,317.84999999999997,4055.4828399999997
56.338,318.04999999999995,4052.1688200000003
61.836,318.25,4048.8316
67.316,318.34999999999997,4045.7218199999998
72.801,318.45,4042.92786
78.270,318.54999999999995,4039.93174
83.767,318.75,4036.8493200000003
89.250,318.84999999999997,4034.1943
94.730,319.04999999999995,4031.3561199999995
100.197,319.15,4027.5072800000003
105.679,319.25,4022.3257
111.199,319.34999999999997,4015.7587
116.685,319.54999999999995,4005.45028
122.144,319.84999999999997,3992.20676
127.603,320.25,3977.1733200000003
133.064,320.75,3961.6538
138.539,321.25,3946.48802
144.033,321.75,3932.4591800000003
149.538,322.15,3919.46204
155.092,322.54999999999995,3907.0944200000004
160.597,323.04999999999995,3895.6595399999997
166.074,323.65,3885.2731999999996
171.545,324.04999999999995,3875.18324
177.041,324.54999999999995,3865.5906599999994
182.504,324.95,3856.48866
188.000,325.34999999999997,3847.8624599999994
193.474,325.75,3839.71846
198.950,326.25,3831.9303199999995
204.451,326.45,3824.1273800000004
209.965,326.84999999999997,3816.52238
215.457,327.25,3809.26478
220.931,327.54999999999995,3802.2219400000004
226.403,327.84999999999997,3795.44228
231.899,328.25,3788.9279199999996
237.390,328.54999999999995,3782.4409400000004
242.901,328.84999999999997,3776.3434399999996
248.407,329.15,3770.27524
253.879,329.34999999999997,3764.36304
259.378,329.75,3758.6487399999996
264.872,329.95,3753.08608
270.370,330.25,3747.54234
275.868,330.45,3742.16494
281.349,330.75,3736.97704
286.844,330.95,3731.90072
292.330,331.15,3727.07916
297.804,331.34999999999997,3722.4028600000006
303.312,331.65,3717.69292
308.833,331.84999999999997,3713.10086
314.330,332.04999999999995,3708.62672
319.806,332.34999999999997,3704.24308
325.295,332.45,3699.9542200000005
330.767,332.75,3695.8169399999997
336.274,332.95,3691.83126
341.755,333.04999999999995,3687.87716
347.234,333.34999999999997,3684.0599199999997
352.700,333.54999999999995,3680.2847799999995
358.187,333.65,3676.6023
363.671,333.84999999999997,3673.0398200000004
369.170,333.95,3669.5339200000003
374.661,334.15,3666.1398799999997
380.159,334.34999999999997,3662.8721400000004
385.636,334.45,3659.6507599999995
391.130,334.65,3656.5725599999996
396.597,334.84999999999997,3653.4543400000002
402.099,334.95,3650.58036
407.581,335.04999999999995,3647.7232000000004
413.074,335.25,3644.9481800000003
418.553,335.34999999999997,3642.2805399999997
424.043,335.45,3639.7413199999996
429.538,335.54999999999995,3637.0736600000005
435.041,335.75,3634.53658
440.575,335.95,3632.1342000000004
446.076,336.04999999999995,3629.8034199999993
451.539,336.15,3627.5169
457.040,336.25,3625.3545600000007
462.506,336.34999999999997,3623.20276
467.990,336.45,3620.97936
473.481,336.54999999999995,3618.9707399999998
478.970,336.65,3616.9220800000003
484.453,336.75,3614.91134
489.942,336.84999999999997,3606.8368200000004
495.421,336.95,3592.5258799999997
500.927,337.34999999999997,3569.9867
506.435,338.04999999999995,3541.75378
511.913,338.75,3508.77978
517.423,339.65,3473.6055800000004
522.903,340.84999999999997,3437.40372
528.399,341.95,3401.87158
533.880,343.25,3366.8847800000003
539.372,344.95,3331.61342
544.842,346.15,3296.67716
550.342,347.75,3262.66096
555.824,349.04999999999995,3230.0361199999998
561.310,350.34999999999997,3198.4307
566.815,351.75,3168.02122
572.285,353.95,3138.94852
577.767,354.54999999999995,3111.0361
583.244,355.84999999999997,3084.5617799999995
588.737,357.34999999999997,3059.18648
594.222,358.65,3034.8889599999998
599.703,359.95,3011.5159400000002
605.206,360.95,2989.20208
610.675,362.25,2967.57664
616.174,363.54999999999995,2946.7576400000003
621.669,364.45,2926.72778
627.155,365.65,2907.29624
632.685,366.75,2888.3890399999996
638.191,368.04999999999995,2870.22292
643.698,369.04999999999995,2852.7726800000005
649.178,369.84999999999997,2835.87408
654.675,370.75,2819.58376
660.153,371.75,2803.87686
665.631,372.75,2788.58684
671.131,373.45,2773.8295000000003
676.635,374.54999999999995,2759.6574799999994
682.100,375.65,2745.79922
687.601,376.15,2732.4651999999996
693.079,377.04999999999995,2719.4865999999997
698.591,377.95,2706.83054
704.097,378.65,2694.66718
709.582,379.54999999999995,2682.86594
715.067,380.25,2671.35106
720.568,380.95,2660.14986
726.076,381.75,2649.32348
731.543,382.34999999999997,2638.76662
737.033,382.25,2628.53816
742.521,383.54999999999995,2618.5916800000005
748.012,384.34999999999997,2608.7696000000005
753.512,384.95,2599.4107
759.006,385.65,2590.24764
764.517,385.95,2581.38356
