Tiempo (s),Temperatura (K),Resistencia (Ohm)
1.517,446.45,+4.51343980E+03
6.539,446.15,+4.51889300E+03
11.583,445.75,+4.53166280E+03
16.602,445.45,+4.54506420E+03
21.619,445.04999999999995,+4.55769710E+03
26.621,444.75,+4.57055100E+03
31.668,444.54999999999995,+4.58353130E+03
36.670,444.15,+4.59624840E+03
41.715,443.84999999999997,+4.60911290E+03
46.733,443.45,+4.62183060E+03
51.737,443.25,+4.63440030E+03
56.742,442.84999999999997,+4.64687530E+03
61.762,442.45,+4.66046620E+03
67.095,442.25,+4.67288850E+03
72.102,441.84999999999997,+4.68527930E+03
77.105,441.54999999999995,+4.69751210E+03
82.134,441.25,+4.70935550E+03
87.135,440.04999999999995,+4.75223400E+03
104.786,439.84999999999997,+4.76476170E+03
109.800,439.45,+4.77704720E+03
114.800,439.25,+4.78965900E+03
119.837,438.84999999999997,+4.80131290E+03
124.846,438.54999999999995,+4.81371410E+03
129.850,438.34999999999997,+4.82495770E+03
134.867,438.04999999999995,+4.83663260E+03
139.870,437.75,+4.84810750E+03
144.875,437.45,+4.85938240E+03
149.879,437.04999999999995,+4.87057300E+03
154.901,436.84999999999997,+4.88186890E+03
159.904,436.54999999999995,+4.89263850E+03
164.916,436.34999999999997,+4.90380810E+03
169.933,436.04999999999995,+4.91466180E+03
174.945,435.75,+4.92524190E+03
179.965,435.45,+4.93603290E+03
184.966,435.25,+4.94663400E+03
189.976,434.95,+4.95665610E+03
194.978,434.75,+4.96762560E+03
199.999,434.34999999999997,+4.97750040E+03
204.999,434.04999999999995,+4.98768040E+03
210.007,433.84999999999997,+4.99810250E+03
215.008,433.75,+5.00802990E+03
220.033,433.45,+5.01789410E+03
225.067,433.15,+5.02806350E+03
230.079,432.95,+5.03780170E+03
235.098,432.65,+5.04743430E+03
240.099,432.45,+5.05706690E+03
245.103,432.25,+5.06645730E+03
250.107,431.95,+5.07590040E+03
255.118,431.75,+5.08517510E+03
260.132,431.45,+5.09451290E+03
265.133,431.25,+5.10426130E+03
270.143,430.04999999999995,+5.14717140E+03
295.106,429.84999999999997,+5.15621440E+03
300.146,429.65,+5.16497330E+03
305.166,429.45,+5.17378470E+03
310.168,429.25,+5.18279620E+03
315.177,429.04999999999995,+5.19164970E+03
320.198,428.84999999999997,+5.20028220E+03
325.213,428.54999999999995,+5.20805140E+03
330.219,428.45,+5.21630490E+03
335.233,428.25,+5.22542170E+03
340.245,427.95,+5.23374890E+03
345.266,427.75,+5.24190760E+03
350.268,427.54999999999995,+5.25029840E+03
355.279,427.34999999999997,+5.25788860E+03
360.299,427.25,+5.26588950E+03
365.302,427.04999999999995,+5.27398500E+03
370.306,426.75,+5.28177530E+03
375.333,426.54999999999995,+5.28961820E+03
380.337,426.45,+5.29699800E+03
385.338,426.25,+5.30460930E+03
390.344,426.04999999999995,+5.31246270E+03
395.366,425.84999999999997,+5.31990560E+03
400.377,425.65,+5.32745380E+03
405.384,425.54999999999995,+5.33487560E+03
410.396,425.34999999999997,+5.34221320E+03
415.407,425.15,+5.34945650E+03
420.417,424.95,+5.35793100E+03
426.421,424.75,+5.36565820E+03
431.464,424.54999999999995,+5.37325900E+03
437.108,424.34999999999997,+5.38069130E+03
